id,name,icon,description,itemType,price,skillSO,skillImage,runeSO,hpRecover,mpRecover
0,DarkRune,Assets/08_Externals/Stone_Runes_Icons/transparent/DarkRune.PNG,어둠 속성을 부여합니다. 5초마다 5의 데미지를 주는 디버프 효과를 줍니다.,Rune,18,,,Assets/09_ScriptableObject/Rune/DarkRune.asset,,
1,DevideRune,Assets/08_Externals/Stone_Runes_Icons/transparent/DevideRune.png,스킬이 자신을 1회 복사합니다.,Rune,22,,,Assets/09_ScriptableObject/Rune/DevideRune.asset,,
2,DurationRune,Assets/08_Externals/Stone_Runes_Icons/Stone_Runes_Icons/transparent/DurationRune.PNG,스킬의 지속시간을 증가시킵니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/DurationRune.asset,,
3,ElectricRune,Assets/08_Externals/Stone_Runes_Icons/transparent/ElectricRune.PNG,전기 속성을 부여합니다. 근처 적에게 연쇄 피해를 줍니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/ElectricRune.asset,,
4,FireRune,Assets/08_Externals/Stone_Runes_Icons/transparent/FireRune.png,화염 속성을 부여합니다. 적을 태워 추가 피해를 줍니다.,Rune,18,,,Assets/09_ScriptableObject/Rune/FireRune.asset,,
5,Gravity Rune,Assets/08_Externals/Stone_Runes_Icons/Stone_Runes_Icons/transparent/GravityRune.png,중력을 강하게 만들어 스킬 사용 후  근처 몬스터를 가운데로 모읍니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/GravityRune.asset,,
6,Heal,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/Heal.PNG,체력을 회복합니다. ,SkillBook,22,Assets/09_ScriptableObject/Skill/Heal.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 1/256x256px/29.png,,,
7,HomingRune,Assets/08_Externals/Stone_Runes_Icons/Stone_Runes_Icons/transparent/HomingRune.png,스킬이 적을 자동 추적합니다. 명중률 향상.,Rune,22,,,Assets/09_ScriptableObject/Rune/HomingRune.asset,,
8,HugeRune,Assets/08_Externals/Stone_Runes_Icons/Stone_Runes_Icons/transparent/HugeRune.PNG,스킬 범위와 오브젝트 크기를 증가시킵니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/HugeRune.asset,,
9,IceRune,Assets/08_Externals/Stone_Runes_Icons/transparent/IceRune.PNG,얼음 속성을 부여합니다. 대상이 느려집니다.,Rune,21,,,Assets/09_ScriptableObject/Rune/IceRune.asset,,
10,LightRune,Assets/08_Externals/Stone_Runes_Icons/Stone_Runes_Icons/transparent/LightRune.png,빛 속성을 부여합니다. 일정 확률로 대상이 실명됩니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/LightRune.asset,,
11,MagicBall,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicBall.png,기본 마법탄을 발사하며 단일 적에게 피해를 줍니다.,SkillBook,20,Assets/09_ScriptableObject/Skill/MagicBall.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 3/256x256px/40.png,,,
12,MagicBeam,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicBeam.PNG,전방으로 관통하는 마법줄기를 발사하여 다수 적에게 피해를 줍니다. ,SkillBook,25,Assets/09_ScriptableObject/Skill/MagicBeam.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 1/256x256px/2.png,,,
14,MagicRevolve,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicRevolve.png,플레이어 주변을 도는 오브로 적을 타격합니다. ,SkillBook,24,Assets/09_ScriptableObject/Skill/MagicRevolve.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 1/256x256px/27.png,,,
15,MagicRush,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/MagicRush.png,커서 방향으로 빠르게 돌진하며 지나가는 적을 관통 타격합니다. ,SkillBook,30,Assets/09_ScriptableObject/Skill/MagicRush.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 2/256x256px/21.png,,,
16,RandomElementalRune,Assets/08_Externals/Stone_Runes_Icons/transparent/RandomElementalRune.png,스킬의 속성이 무작위로 부여됩니다.,Rune,19,,,Assets/09_ScriptableObject/Rune/RandomElementalRune.asset,,
17,RetryRune,Assets/08_Externals/Stone_Runes_Icons/transparent/RetryRune.PNG,스킬이 한번 더 사용됩니다.,Rune,25,,,Assets/09_ScriptableObject/Rune/RetryRune.asset,,
18,Telleport,Assets/08_Externals/Stone_Runes_Icons/Ancient_Manuscript_Icons/transparent/Telleport.PNG,커서 위치로 순간이동합니다. ,SkillBook,35,Assets/09_ScriptableObject/Skill/Telleport.asset,Assets/08_Externals/[WENREXA Pixel Assets #1]/WENREXA Pixel Assets/[Pack] GUI/Pixel Spell & Abilities Icons [1660]/Skill Icon Pack [Pixel] 3/256x256px/38.png,,,
19,ThroughRune,Assets/08_Externals/Stone_Runes_Icons/transparent/ThroughRune.png,투사체가 적을 관통하게 만듭니다.,Rune,20,,,Assets/09_ScriptableObject/Rune/ThroughRune.asset,,
20,WaterRune,Assets/08_Externals/Stone_Runes_Icons/transparent/WaterRune.PNG,물 속성을 부여합니다. 적중 시 밀쳐냄 효과를 줍니다.,Rune,18,,,Assets/09_ScriptableObject/Rune/WaterRune.asset,,
