id,path,volume,pitch,loop,type
Attack1,Sounds/Audio/SFX/Anime/SFX_Vefects_Anime_Stylized_Arrow_Shot_Cast,1,1,FALSE,SFX
BGM6,Sounds/Audio/BGM/Pixel 10,1,1,TRUE,BGM
NormalMagicBall,Sounds/Audio/SFX/Anime/SFX_Vefects_Anime_Stylized_Bomb_Cast,1,1,FALSE,SFX
FireMagicBall,Sounds/Audio/SFX/Flipbook/SFX_Vefects_Flipbook_Slash_Fire,1,1,FALSE,SFX
WaterMagicBall,Sounds/Audio/SFX/Flipbook/SFX_Vefects_Flipbook_Liquid_Hit_03,1,1,FALSE,SFX
IceMagicBall,Sounds/Audio/SFX/CutSound/SFX_Vefects_Stylized_Magic_Attack_Ice_Cast,1,1,FALSE,SFX
ElectricMagicBall,Sounds/Audio/SFX/CutSound/SFX_Vefects_Stylized_Magic_Attack_Electric_Cast,1,1,FALSE,SFX
DarkMagicBall,Sounds/Audio/SFX/CutSound/SFX_Vefects_Stylized_Magic_Attack_Dark_Cast,1,1,FALSE,SFX
LightMagicBall,Sounds/Audio/SFX/CutSound/SFX_Vefects_Stylized_Magic_Attack_Nature_Cast,1,1,FALSE,SFX
HitNormalMagicBall,Sounds/Audio/SFX/Anime/SFX_Vefects_Anime_Stylized_Bomb_Explosion,1,1,FALSE,SFX
HitFireMagicBall,Sounds/Audio/SFX/Anime/SFX_Vefects_Anime_Stylized_FireBall_Hit,1,1,FALSE,SFX
HitWaterMagicBall,Sounds/Audio/SFX/Flipbook/SFX_Vefects_Flipbook_Liquid_Hit_01,1,1,FALSE,SFX
HitIceMagicBall,Sounds/Audio/SFX/Stylized/Magic Attacks/SFX_Vefects_Stylized_Magic_Attack_Ice_Hit,1,1,FALSE,SFX
HitElectricMagicBall,Sounds/Audio/SFX/Stylized/Magic Attacks/SFX_Vefects_Stylized_Magic_Attack_Electric_Hit,1,1,FALSE,SFX
